,Id,BCT,hubscore,authoritiesscore,closeness centrality,degree centrality,degree_prestige,eigenvector centrality,Harmonic centrality,Page-Rank,Percolation-Centrality,betweenness centrality,scores
0,1001,0.055665604,1.05e-05,0.000102088,0.069326778,0.006041094,0.000361742,0.000125802,2624.847312,8.59e-05,1.56e-05,1.56e-05,0.005086035
1,1002,0.051332353,4.85e-05,0.000102144,0.078026715,0.005570829,0.001555491,0.004829035,2736.518911,4.39e-05,0.000112804,0.000112804,0.038170799
2,1003,0.029999427,1.49e-05,0.000100994,0.061356019,0.003255679,0.000542613,5.31e-05,2008.749265,1.67e-05,2.12e-08,2.12e-08,0.290098224
3,1004,0.000666654,3.43e-12,1.52e-10,3.62e-05,7.23e-05,3.62e-05,5.47e-37,1.0,1.98e-05,0.0,0.0,0.017813082
4,1005,0.031999389,1.14e-06,0.000101114,0.059001866,0.003472725,3.62e-05,2.29e-05,2259.669854,4.34e-05,1.34e-06,1.34e-06,0.29264293
5,1006,0.000666654,1.15e-06,1.07e-09,0.038821576,7.23e-05,3.62e-05,3.7e-10,1318.597363,1.77e-05,7.17e-05,7.17e-05,0.264650955
6,1007,0.001333308,0.0,1.17e-08,0.06296845,0.000144697,0.0,4.36e-05,2100.065648,2.79e-05,0.0,0.0,0.002546535
7,1008,0.002666616,9.54e-11,9.65e-09,0.000325568,0.000289394,7.23e-05,1.4100000000000001e-33,10.33333333,2.22e-05,2.09e-08,2.09e-08,0.356260928
8,1009,0.000666654,2.63e-18,2.33e-16,3.62e-05,7.23e-05,3.62e-05,5.47e-37,1.0,1.87e-05,0.0,0.0,0.300277048
9,1010,0.01866631,1.29e-05,5.59e-05,0.059040237,0.002025756,0.000434091,0.00021953,2118.860506,1.8e-05,5.29e-06,5.29e-06,0.254472132
10,1011,0.032666043,4.6e-06,0.000101975,0.067968404,0.003545073,0.000144697,4.47e-05,2497.803962,3.27e-05,1.68e-06,1.68e-06,0.257016838
11,1012,0.015999695,3.13e-05,1.29e-06,0.05152523,0.001736362,0.001338446,1.86e-06,1779.640198,2.15e-05,0.000101224,0.000101224,0.005086035
12,1013,0.033666024,1.61e-05,0.000101217,0.071156627,0.003653596,0.000578787,0.001455665,2441.884651,2.56e-05,1.57e-05,1.57e-05,0.035626093
13,1014,0.003666597,1.52e-06,1.66e-09,0.012989153,0.000397916,0.000108523,8.66e-16,402.8099787,3.28e-05,1.5e-06,1.5e-06,0.343537329
14,1015,0.000333327,0.0,1.25e-14,0.004430259,3.62e-05,0.0,1.7e-24,132.2380536,1.89e-05,0.0,0.0,0.117057172
15,1016,0.033999351,9.25e-06,0.000102576,0.075528451,0.00368977,0.000289394,0.000972251,2585.319716,3.3e-05,1.57e-05,1.57e-05,0.424968408
16,1017,0.004999905,1.54e-06,5.8e-09,0.045961013,0.000542613,0.000180871,3.85e-08,1463.976575,2.92e-05,0.000491075,0.000491075,0.246837944
17,1018,0.034332678,1.04e-05,0.000101869,0.072832152,0.003725944,0.000361742,0.001375085,2591.812007,3.32e-05,1.73e-05,1.73e-05,0.241748462
18,1019,0.004999905,1.16e-06,1.52e-09,0.038816733,0.000542613,0.000217045,9.13e-10,1247.208401,6.28e-05,4.33e-05,4.33e-05,0.244293238
19,1020,0.000333327,0.0,1.15e-09,3.62e-05,3.62e-05,0.0,5.47e-37,1.0,1.65e-05,0.0,0.0,0.274829849
20,1021,0.011999771,3.49e-07,2.81e-05,0.02037333,0.001302272,7.23e-05,5.58e-15,702.0440573,8.29e-05,1.22e-05,1.22e-05,0.285008742
21,1022,0.001333308,1.29e-08,5.72e-09,0.036571083,0.000144697,3.62e-05,1.02e-10,1183.202969,2.01e-05,6.89e-08,6.89e-08,0.139959665
22,1023,0.013999733,8.22e-06,3.93e-05,0.061038772,0.001519317,0.000325568,7.43e-06,2076.678664,6.18e-05,0.000282596,0.000282596,0.050894398
23,1024,0.028999446,2.74e-05,5.71e-05,0.067376447,0.003147157,0.000976704,6.46e-05,2420.582313,4.38e-05,0.00016518,0.00016518,0.315545424
24,1025,0.043332506,1.72e-05,0.000101387,0.062694956,0.004702648,0.000614962,2.92e-05,2440.926189,3.35e-05,2.23e-05,2.23e-05,0.022902493
25,1026,0.003666597,0.0,6.88e-06,0.002836269,0.000397916,0.0,1.04e-25,112.6808442,2.34e-05,0.0,0.0,0.320634835
26,1027,0.049332391,6.11e-05,0.00010156,0.068666084,0.005353784,0.001989582,0.000172017,2465.020944,2.2e-05,0.000158018,0.000158018,0.257016838
27,1028,0.016666348,2.31e-10,6.12e-05,0.051921283,0.001808711,3.62e-05,7.33e-07,1952.808918,2.28e-05,2.2e-07,2.2e-07,0.035626093
28,1029,0.037999274,8.07e-06,0.000101562,0.061738526,0.004123861,0.00025322,3.88e-05,2379.324246,4.22e-05,6.18e-05,6.18e-05,0.005086035
29,1030,0.001333308,0.0,4.95e-11,0.001973666,0.000144697,0.0,2.42e-25,62.75595238,4.01e-05,0.0,0.0,0.094154679
30,1031,0.027332811,5.73e-06,0.000101161,0.065859235,0.002966286,0.000180871,3.89e-05,2305.095398,1.79e-05,1.91e-06,1.91e-06,0.040715504
