,Rank,Id,degree centrality,betweenness centrality,closeness centrality,eigenvector centrality,Katz-Centrality,Percolation-Centrality,Harmonic centrality,hubscore,authoritiesscore,Page-Rank,rank-Prestige,degree_prestige
0,1,9912279,9605046,9605046,9804083,12062,9605046,9605046,9804083,9302126,9401139,9803001,9401139,9503124
1,2,9912271,9209055,9603126,9803002,9804083,9401139,9603126,9803002,9303032,9402004,9804083,12062,9408083
2,3,9912259,12062,9603116,9904085,9904085,9711200,9603116,9904085,9301043,12062,9805112,9209055,9408074
3,4,9912251,9905111,9609238,9902184,9902184,12062,9609238,9902184,9203031,9309140,3136,9605046,9705113
4,5,9912248,9411210,9702045,9903221,9803001,3136,9702045,9903221,9204040,9905111,9805129,9411210,9611215
5,6,9912203,3136,9603003,9909166,9909166,9209055,9603003,9805112,9211021,9402107,9803002,9802067,9605046
6,7,9912179,9309140,9503124,3158,3158,9411210,9503124,9909166,9202059,9711200,9903221,9905111,9705123
7,8,9912155,9802067,9703163,2167,9803002,9905111,9703163,9803001,9208076,9411210,206223,9711200,9711001
8,9,9912128,9706109,9508155,9907048,9805112,9803002,9508155,3158,9206078,203211,9907048,9406203,9709014
9,10,9912114,203211,9702109,12062,9803076,9804083,9702109,9907048,9210021,9173,9803076,3136,9704089
10,11,9912099,9603187,9603147,9805112,9803023,9402107,9603147,12062,9304155,204089,9905127,9411028,9611190
11,12,9912086,9408083,9605059,9173,2167,9406203,9605059,2167,9308042,6121,9904085,9412228,9612121
12,13,9912075,9803002,9606093,9803001,9173,9309140,9606093,9805129,9207111,9802067,9803023,9606130,9703110
13,14,9912072,9803001,9509161,4137,9903221,9802067,9509161,9803076,9204035,11250,9605046,9309140,9802116
14,15,9912066,204158,9510101,9905127,9805129,9411028,9510101,9173,9305185,9705007,9711200,9402107,9511154
15,16,9912064,9411187,9803001,9805129,9805154,9606130,9803001,9802185,9203008,9311130,9712253,203211,9411187
16,17,9912060,9503124,9605009,6121,4137,9508155,9605009,9711200,9206051,9706109,9805154,9706109,9611204
17,18,9912058,9707083,9612215,9802185,6121,203211,9612215,3136,9301042,9309044,2167,204089,9712059
18,19,9912036,9603126,9602045,9803076,9907048,9702194,9602045,9803023,3158,9404192,9906198,9804083,9511043
