,Rank,Id,degree centrality,eigenvector centrality,closeness centrality,betweenness centrality,load centrality,pagerank,hubs,authorities,percolation,subgraph,harmonic
0,1,9912287,9711200,9908142,9711200,9711200,9711200,9711200,9908142,9908142,9711200,9908142,9711200
1,2,9912285,9407087,9711200,9407087,9407087,9407087,9407087,9711200,9711200,9407087,9711200,7170
2,3,9912280,9908142,5031,110055,9908142,9908142,9906064,9711162,9711162,9906064,9711162,9407087
3,4,9912279,9906064,9711162,7170,9906064,9906064,9908142,106048,106048,9908142,106048,110055
4,5,9912275,9408099,106048,9408099,9408099,9408099,9408099,5031,5031,9408099,9407087,210224
5,6,9912274,9503124,12251,212114,9610043,9610043,9610043,9711165,9711165,9610043,5031,9908142
6,7,9912272,9610043,9103,9503124,9905111,9905111,9905111,9407087,9407087,9503124,9711165,212114
7,8,9912271,9905111,9148,9905111,9503124,9503124,9503124,10060,10060,9905111,10060,9503124
8,9,9912266,9711162,9912249,210224,110055,110055,9204099,9912072,9912072,110055,9408099,9408099
9,10,9912260,9510209,111208,9411028,9401139,9401139,9711162,9408099,9408099,9711162,9912072,9905111
10,11,9912258,9410167,10108,9908142,9411028,9411028,9510209,8013,8013,7170,8013,106048
11,12,9912254,9510135,10060,106048,9210010,9210010,9410167,9905111,9905111,9510209,9905111,9410167
12,13,9912249,106048,10240,210157,9711162,9409089,9510135,9503124,9503124,106048,9503124,9906064
13,14,9912244,9601029,9407087,9410167,9409089,9711162,9401139,5006,5006,9401139,5006,210157
14,15,9912243,9611050,9810188,9903268,106048,106048,9409089,6071,6071,9510135,6071,8142
15,16,9912241,9803131,5036,9510135,9510135,9202,9306002,9812219,9812219,9202,9812219,9510135
16,17,9912233,9409089,109162,9812072,9510209,9510135,9803131,9810188,9810188,9410167,9810188,7018
17,18,9912227,9912072,9911116,9401139,9202,9510209,9412184,7170,7170,9204099,109162,9139
18,19,9912213,9401139,9711165,9610043,9410167,9204099,9611050,109162,109162,9306002,7170,9510209
19,20,9912209,9411149,5006,8142,9204099,9410167,9601029,11095,11095,9409089,11095,9903268
20,21,9912203,9910053,12210,9908199,7170,9405029,9910053,5040,5040,9405029,5040,207142
21,22,9912185,109162,6071,9711162,9405029,9301042,9301042,7043,7043,9611050,9906064,9812072
22,23,9912184,9711165,9902105,9409089,9301042,7170,9405029,9912249,9912249,9412184,7043,9711162
23,24,9912181,9204099,6240,210292,9506171,9506171,9201056,9038,9038,9601029,9912249,5029
24,25,9912180,9412184,9805170,207142,9611050,9611050,106048,5048,5048,9301042,9038,210292
25,26,9912179,9602022,9038,9612192,9306002,9412184,9912072,9903205,9903205,9803131,9903205,105097
26,27,9912177,112044,208142,10144,9412184,9306002,9412228,5204,5204,8142,5204,207249
27,28,9912171,7170,12198,9202,9304011,9304011,9405109,9906064,9906064,9910053,5048,5031
28,29,9912167,9501068,9208027,7195,9306153,9306153,9411149,9103,9103,9411028,9103,8081
29,30,9912161,9810188,105059,9807195,9201056,9201056,9204083,9410167,9410167,9304011,9410167,9811019
30,31,9912160,9602052,9246,9139,210224,209241,9602022,4147,4147,9408074,4147,9610043
31,32,9912159,9301042,9191,9510209,209241,9612233,9211021,9510135,9510135,9412228,9510209,10144
32,33,9912157,110055,106010,9811019,9612233,210224,9401153,9805170,9805170,9201056,9142,7191
33,34,9912152,7191,8013,207249,9504150,9408074,9501068,9510209,9510209,9304154,10090,9411028
34,35,9912151,9603142,9808141,9412184,9803131,9803131,9408074,9142,9142,9411149,8205,9803131
35,36,9912150,9805170,11226,8081,9412228,9412228,9603142,12210,12210,210224,9510135,9401139
36,37,9912147,111208,12081,210134,9408074,9411210,9711165,10090,10090,9504150,9148,8076
37,38,9912146,110242,9912072,7018,9601029,9504150,9206084,9148,9148,111210,9805170,9908199
38,39,9912145,9411048,11095,209230,210292,9206084,9304154,8205,8205,9505061,12210,11283
39,40,9912140,9812219,11029,9708164,9204083,209230,9602052,11131,11131,9401153,10240,210134
40,41,9912139,9611230,9408099,5029,209230,9204083,9301068,10240,10240,210292,11131,4103
41,42,9912135,9148,9904207,206063,9411210,9601029,9205068,5129,5129,9506136,11125,9807195
42,43,9912133,9510169,111129,8076,9206084,8142,9402002,11125,11125,212114,5129,9711165
43,44,9912130,5031,8053,9803131,8142,210292,9207016,12198,12198,9402002,106113,9612192
44,45,9912123,9602043,9805019,5087,9402002,109162,9411048,9910053,9910053,9711165,12198,206063
45,46,9912121,9408074,9210065,9408074,9304154,9503002,9505035,12251,12251,9405109,12251,9708164
46,47,9912120,106113,9812135,12234,109162,9402002,9804085,10108,10108,9204083,10108,5087
47,48,9912119,9411057,8252,5031,9503002,9601013,9703030,11283,11283,303109,9910053,9412184
48,49,9912118,9703166,9503124,11283,9601013,9304154,9212149,9910004,9910004,9211034,9910004,112195
49,50,9912106,9512077,9303143,8241,9208027,9208027,9810188,8042,8042,9211021,11283,9409089
50,51,9912104,9103,11094,112195,9411149,9411149,9304011,9808141,9808141,209241,8042,9804208
51,52,9912101,9402002,8033,9711165,9910053,210157,9402044,107251,107251,9812056,7191,303191
52,53,9912096,9504090,8227,9808100,210157,9706210,9208027,9610043,9610043,12234,9808141,106117
53,54,9912094,9402044,7153,4068,9602022,9910053,9507158,9812135,9812135,9805170,107251,210217
54,55,9912092,9603167,9812219,9611050,9706210,9712110,9611230,8075,8075,9206084,8075,12234
55,56,9912090,9507158,7170,105097,9904180,9401153,9303046,107172,107172,9512085,107172,9202
56,57,9912088,12251,109182,9805096,9401153,9602022,9407190,7191,7191,5029,9610043,11193
57,58,9912085,9512062,8231,9301042,9712110,9505161,9512062,9810072,9810072,9903005,9812135,8001
58,59,9912075,9904207,10016,106061,212114,9904180,9612115,106113,106113,9602022,9810072,106061
59,60,9912072,9505105,9311177,9511053,9708009,9506136,9411057,7078,7078,9501068,7078,9511030
60,61,9912070,9208027,10190,9906064,9505161,9208047,9504090,5073,5073,9903268,5073,106178
61,62,9912065,9912249,12080,4187,9208047,9910222,9510169,111208,111208,9503023,111208,4063
62,63,9912047,9507121,9105,109162,9910222,9708009,9507121,10221,10221,9205068,10221,9910053
63,64,9912042,9703030,4147,7191,9711165,9212149,9812219,110055,110055,5031,110055,7064
