,Rank,Id,Degree-Centrality,Betweenness-Centrality,EigenVector-centrality,Closeness-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Page-Rank,Katz-Centrality,Harmonic-Centrality,Percolation-Centrality
0,1,1.0,0.9490222828787876,0.9490222828787876,0.969502047159078,0.9490222828787876,0.969502047159078,0.969502047159078,0.9490222828787876,0.9490222828787876,0.010586196370865,0.9490222828787876,0.9490222828787876
1,2,0.9999991927407208,0.969502047159078,0.969502047159078,0.0104785281645194,0.0005010052900709,0.0104785281645194,0.0104785281645194,0.969502047159078,0.969502047159078,0.0010098813581128,0.969502047159078,0.969502047159078
2,3,0.999999091833311,0.9491244011775894,0.9491244011775894,0.0201629150132567,0.969502047159078,0.0201629150132567,0.0201629150132567,0.9491244011775894,0.9491244011775894,0.9798106472453538,0.0005010052900709,0.9491244011775894
3,4,0.9999979818518024,0.0104785281645194,0.0104785281645194,0.9490222828787876,0.0104785281645194,0.9490222828787876,0.9490222828787876,0.0104785281645194,0.0104785281645194,0.0002851643403304,0.0209838977000678,0.0104785281645194
4,5,0.9999977800369826,0.0107927538388962,0.0005010052900709,0.0002851643403304,0.0209838977000678,0.0002851643403304,0.0002851643403304,0.0107927538388962,0.0107927538388962,0.000688693072454,0.0104785281645194,0.0005010052900709
5,6,0.999997376407343,0.0201629150132567,0.0209838977000678,0.0107927538388962,9.394479860142328e-05,0.0107927538388962,0.0107927538388962,0.0201629150132567,0.0099818618930734,0.9796112542034244,9.394479860142328e-05,0.0209838977000678
6,7,0.9999963673332442,0.0005010052900709,9.939379873512562e-05,0.9491244011775894,0.0211813735012096,0.9491244011775894,0.9491244011775894,0.0005010052900709,0.9494321687777336,0.0099818618930734,0.0099818618930734,9.939379873512562e-05
7,8,0.9999960646110144,0.0099818618930734,0.0007060491469539,0.0005010052900709,0.0099818618930734,0.0005010052900709,0.0005010052900709,0.0099818618930734,0.0005010052900709,0.0208898519940565,0.9491244011775894,0.0007060491469539
8,9,0.999994853722096,0.0209838977000678,0.0099818618930734,0.0109992103995176,0.0110068793626687,0.0109992103995176,0.0109992103995176,0.0209838977000678,0.0209838977000678,0.0003853653983446,0.0211813735012096,0.0099818618930734
9,10,0.9999944500924564,0.9494321687777336,0.0107927538388962,0.0099818618930734,0.9491244011775894,0.0099818618930734,0.0099818618930734,0.9494321687777336,0.0201629150132567,0.9796975300388746,0.0110068793626687,0.0107927538388962
10,11,0.9999904137960612,0.0200854181224662,0.9494321687777336,9.394479860142328e-05,0.9899007827892322,9.394479860142328e-05,9.394479860142328e-05,0.0200854181224662,0.0200854181224662,0.0108828641559221,0.999090622422131,0.9494321687777336
11,12,0.9999899092590115,9.394479860142328e-05,9.394479860142328e-05,0.0209838977000678,0.999090622422131,0.0209838977000678,0.0209838977000678,9.394479860142328e-05,0.9485134068107456,0.9793022757143612,0.9899007827892322,9.394479860142328e-05
12,13,0.9999851666107472,0.0005031243456785,0.999090622422131,0.0005860702366026,0.0205707827640053,0.0005860702366026,0.0005860702366026,0.0005031243456785,0.0009073594296713,0.968590954155241,0.0205707827640053,0.999090622422131
13,14,0.999984258444058,0.0002851643403304,0.0208903565311059,0.0009965615800082,0.000503527975318,0.0009965615800082,0.0009965615800082,0.0002851643403304,9.394479860142328e-05,0.0301577939622051,0.000503527975318,0.0208903565311059
14,15,0.9999822402958606,0.9485134068107456,0.0009073594296713,0.0104939669982315,0.0204943958547236,0.0104939669982315,0.0104939669982315,0.9485134068107456,0.0007060491469539,0.9797978320042988,0.0204943958547236,0.0009073594296713
15,16,0.9999806257773024,0.0109992103995176,0.0200854181224662,0.0005031243456785,0.9898882702704066,0.0005031243456785,0.0005031243456785,0.0109992103995176,0.0005031243456785,0.0102778233262614,0.9898882702704066,0.0200854181224662
16,17,0.9998965699048696,0.0208903565311059,0.0201629150132567,0.0001959621899935,0.9991678165906918,0.0001959621899935,0.0001959621899935,0.0208903565311059,0.0208903565311059,0.0103958849958249,0.0206796618592694,0.0201629150132567
17,18,0.99989626718264,0.0009073594296713,0.0205707827640053,8.778944659853735e-05,0.0206796618592694,8.778944659853735e-05,8.778944659853735e-05,0.0009073594296713,0.0202718950159307,0.0209838977000678,0.0201629150132567,0.0205707827640053
18,19,0.999895359015951,0.0105924526302777,0.9898977555669356,0.0009160374669212,0.0209815768296405,0.0009160374669212,0.0009160374669212,0.0105924526302777,0.0205707827640053,0.9998730584783668,0.9991678165906918,0.9898977555669356
19,20,0.9998952581085412,0.9995685199153388,0.0211813735012096,0.0006999947023609,0.0201629150132567,0.0006999947023609,0.0006999947023609,0.9995685199153388,0.0002851643403304,0.9793076238070852,0.0002851643403304,0.0211813735012096
20,21,0.999891019997326,0.0207710839726238,0.9697230343867226,0.000900699540619,0.0002851643403304,0.000900699540619,0.000900699540619,0.0207710839726238,9.939379873512562e-05,0.9793118619183004,0.0209815768296405,0.9697230343867226
21,22,0.9998879927750296,0.0104939669982315,0.9792866350658296,0.020382388629753,0.0208903565311059,0.020382388629753,0.020382388629753,0.0104939669982315,0.0109992103995176,0.9788877480745604,0.0200854181224662,0.9792866350658296
22,23,0.999885873719422,0.0205707827640053,0.0005944455516229,0.0303581960782335,0.0005866756810619,0.0303581960782335,0.0303581960782335,0.0205707827640053,0.9995685199153388,0.9796103460367354,0.0208903565311059,0.0005944455516229
23,24,0.9998847637379132,0.0001959621899935,0.0303711122266985,0.0101834748980204,0.0200854181224662,0.0101834748980204,0.0101834748980204,0.0001959621899935,0.0001959621899935,0.9790953146166906,8.778944659853735e-05,0.0303711122266985
24,25,0.9998824428674858,0.0202718950159307,0.9794985406265846,0.0200854181224662,8.778944659853735e-05,0.0200854181224662,0.0200854181224662,0.0202718950159307,0.0105924526302777,0.9792017719341176,0.0009160374669212,0.9794985406265846
25,26,0.9998821401452562,0.0003069603408652,0.0009907089502349,0.0207710839726238,0.0007060491469539,0.0207710839726238,0.0207710839726238,0.0003069603408652,0.0104846835165223,0.010783470357187,0.0005866756810619,0.0009907089502349
26,27,0.9998745720895148,0.010177723175657,0.999999091833311,0.0007040309987563,0.0009160374669212,0.0007040309987563,0.0007040309987563,0.010177723175657,0.0104939669982315,8.960577997643813e-05,0.0202718950159307,0.999999091833311
27,28,0.9998742693672852,0.0104846835165223,0.0202718950159307,0.0204850114656044,0.0104798399608479,0.0204850114656044,0.0204850114656044,0.0104846835165223,0.0003069603408652,0.0205761308567291,0.0007060491469539,0.0202718950159307
28,29,0.9998730584783668,0.0005860702366026,0.9790926910240336,0.0205707827640053,0.9794031831242448,0.0205707827640053,0.0205707827640053,0.0005860702366026,0.9798013637636446,0.9994771987093942,0.0006996919801313,0.9790926910240336
29,30,0.9998716457746284,0.9697153654235716,0.0202702804973726,0.0208874302162193,0.0303711122266985,0.0208874302162193,0.0208874302162193,0.9697153654235716,0.999999091833311,0.0099794401152362,0.0107927538388962,0.0202702804973726
30,31,0.9997951579579368,0.0108801396558552,0.9792060100453328,0.010586196370865,0.0005862720514224,0.010586196370865,0.010586196370865,0.0108801396558552,0.0099720738743147,0.0204850114656044,0.9794031831242448,0.9792060100453328
31,32,0.999794148883838,8.778944659853735e-05,0.9694161749532672,0.0204943958547236,0.0204695726318922,0.0204943958547236,0.0204943958547236,8.778944659853735e-05,0.9697153654235716,0.0104922515722635,0.0104798399608479,0.9694161749532672
32,33,0.9997930389023292,0.0206760291925136,0.9798013637636446,0.000688693072454,0.0005924274034253,0.000688693072454,0.000688693072454,0.0206760291925136,0.9794985406265846,0.9789881509473944,0.0005862720514224,0.9798013637636446
33,34,0.99979233255046,0.0007060491469539,0.0108828641559221,0.0010068541358163,0.999999091833311,0.0010068541358163,0.0010068541358163,0.0007060491469539,0.0007920222601746,0.0108895240449744,0.9995685199153388,0.0108828641559221
34,35,0.9997917271060008,0.0006999947023609,0.000503527975318,0.010177723175657,0.0006996919801313,0.010177723175657,0.010177723175657,0.0006999947023609,8.778944659853735e-05,0.0008090756124449,0.9993707413919672,0.000503527975318
35,36,0.9997846635873088,0.9789934990401182,0.0099912462821926,0.0211813735012096,0.0108828641559221,0.0010030196542407,0.0010030196542407,0.9789934990401182,0.0207710839726238,0.0303711122266985,0.0303711122266985,0.0099912462821926
36,37,0.9997825445317012,0.978782602553462,0.0003069603408652,0.0010030196542407,0.0207710839726238,0.0211813735012096,0.0211813735012096,0.978782602553462,0.0005860702366026,0.0108962848414366,0.0007920222601746,0.0003069603408652
37,38,0.99977497647596,0.0205901569867029,0.0101723750829332,0.0208903565311059,0.0202718950159307,0.0008969659664533,0.0008969659664533,0.0205901569867029,0.0204943958547236,0.0201774456802799,0.0204695726318922,0.0101723750829332
