Id,degree_centrality
9601026,0
9601025,0
9906113,0.002950177
9601029,0
9601028,0
9601027,0.399705208
9601030,0.004425101
104207,0.004425101
9601034,0.007374949
9601035,0
9601036,0.004425101
9601037,0.005900025
9601038,0.0781714
9601039,0.02802391
9601040,0.160767244
9601041,0.004425101
9601042,0.004425101
9906116,0.002950177
9601044,0.007374949
9601043,0.004425101
104203,0.011799745
9601045,0.002950177
9601048,0
9601049,0.002950177
9601050,0.001475253
9601051,0.007374949
9601052,0.022124214
9906118,0.008849873
104212,0.001475253
9601055,0.001475253
9601056,0.001475253
9601057,0.008849873
9601058,0.010324821
9601059,0.0781714
9601053,0.002950177
9601054,0.039823327
9601062,0.004425101
9906120,0
9601063,0.002950177
9601065,0.001475253
9601064,0
9601067,0.001475253
9601068,0
9906121,0.032448706
9601070,0.001475253
9601069,0.001475253
9601072,0.002950177
9601073,0.013274669
9601074,0.004425101
9601075,0.001475253
9601076,0
9601077,0.002950177
9601078,0.004425101
9906123,0.039823327
9601080,0.02064929
9601081,0
9601082,0.010324821
9906124,0.008849873
9601084,0.004425101
9601085,0.014749593
9601083,0.001475253
9601087,0.050147795
9601088,0.001475253
9601089,0.001475253
9906125,0.004425101
9601091,0.017699441
9601092,0.001475253
9906126,0.014749593
9601094,0.014749593
9601093,0.004425101
9601096,0.002950177
9601097,0.001475253
9601098,0.017699441
9906127,0.051622743
9601099,0.017699441
9601100,0.026548986
9601102,0
9906128,0
9601104,0.011799745
9601103,0.001475253
9601105,0.004425101
9601107,0
9601108,0.002950177
9601109,0.001475253
9601110,0.036873478
9601111,0.013274669
9601112,0
9601113,0.005900025
9906130,0.011799745
9601115,0.016224517
9601116,0.008849873
9601117,0.026548986
9601118,0.004425101
9601114,0.007374949
9121,0.007374949
104206,0.004425101
9601121,0.005900025
9906132,0.001475253
9601123,0
9601124,0
9601125,0
9601120,0.007374949
9601128,0.001475253
9601129,0.001475253
9601130,0.002950177
9906133,0.001475253
9601131,0
9601132,0
9601135,0
9601136,0
9601137,0.010324821
9601138,0.007374949
9601139,0.002950177
9906135,0.001475253
9601141,0.007374949
9601142,0
9601143,0.001475253
9601144,0.002950177
9601145,0.039823327
9601146,0.001475253
9601147,0.008849873
9601148,0.011799745
9906136,0
9601150,0.005900025
9601151,0
9601152,0.094395589
9906138,0.008849873
9601154,0.072271704
9601153,0
9601156,0.005900025
9601157,0.004425101
9601158,0
9906139,0.001475253
9601160,0.005900025
9601161,0.007374949
9601162,0.004425101
9601163,0.002950177
9601164,0.010324821
9601159,0.004425101
9601166,0.026548986
9601167,0.001475253
9601168,0.007374949
9906141,0.045723023
9601169,0.054572591
9601171,0.004425101
9601172,0.017699441
9906142,0.016224517
9601170,0
9601175,0.025074062
9601176,0.007374949
9601177,0.008849873
9906143,0
9601179,0.103245134
9601174,0.007374949
9601178,0.016224517
9601173,0
9906144,0.002950177
302193,0.001475253
9906146,0.013274669
9511069,0
9906149,0.010324821
9906150,0.001475253
9906151,0
9906152,0.001475253
9906153,0.007374949
9906155,0.001475253
9906156,0
9906159,0
9906160,0.002950177
9906164,0.001475253
9906165,0.014749593
9906167,0.001475253
9503001,0.002950177
9503002,0.007374949
9503003,0.004425101
9503005,0.025074062
9906169,0
9129,0.017699441
9503009,0.002950177
9503010,0
9503011,0
9503012,0
9503014,0
9503015,0.007374949
9503016,0.004425101
9503017,0
9907042,0.02802391
9503019,0.013274669
9906172,0.002950177
9503020,0.002950177
9503022,0.001475253
9503023,0.002950177
9503021,0.004425101
9503025,0.042773175
9503024,0.002950177
9503027,0.001475253
9503028,0.001475253
9503029,0.005900025
