,S.No,Id,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score,Page Rank,Rank_prestige,Authorities-Score,score
0,0,1001,0.000307013,0.28001765,0.014912838,3.55e-07,0.015730263,0.000307013,0.000332779,0.114304208,0.003316757,0.001173638,0.005871454,0.051923077,0.001173638,0.113227103
2,2,7195,0.006049321,0.430535338,0.058823354,5.43e-05,0.102299884,0.006049321,0.00625756,0.0,0.004975115,0.016554716,0.098045132,0.246153846,0.016554716,0.031450918
3,3,11075,0.004654898,0.452992774,0.028997348,0.000136296,0.062928203,0.004654898,0.004808138,0.013967367,0.003316757,0.000845298,0.094401568,0.132692308,0.000845298,0.006291814
4,4,212114,9.42e-05,0.585014199,0.019883832,0.000221137,0.059378787,9.42e-05,0.000107115,0.067164275,0.000829365,0.00031297,0.037675165,0.094230769,0.00031297,0.119517506
6,6,9406055,0.003725088,0.006232691,0.03313985,2.11e-41,0.003717583,0.003725088,0.003700882,0.107217785,0.022388059,0.042197927,0.008154798,0.051923077,0.042197927,0.0
7,7,9409110,0.005450207,0.005891498,0.013255833,2.64e-41,0.002902895,0.005450207,0.005668668,0.0,0.005804315,0.007977591,0.012177831,0.038461538,0.007977591,0.006291814
13,13,9308122,0.00032865,0.00126962,0.046395848,1.63e-44,0.000702313,0.00032865,0.000270194,0.0,0.044776118,0.033734464,0.000869845,0.009615385,0.033734464,0.0
14,14,9506112,0.01473667,0.035886471,0.078707372,1.25e-26,0.004124388,0.01473667,0.015392361,0.0,0.07379767,0.080523828,0.004566687,0.025,0.080523828,0.106936542
15,15,9508155,0.010570771,0.055492904,0.096105893,2.11e-25,0.017043878,0.010570771,0.010860134,0.011145303,0.07379767,0.127124642,0.005653993,0.101923077,0.127124642,0.050322443
16,16,9601108,0.005397577,0.067937332,0.062965856,5.85e-23,0.024780184,0.005397577,0.00532566,0.174683669,0.03233831,0.113750134,0.016744518,0.146153846,0.113750134,0.088065176
18,18,9412115,0.000345609,0.01218838,0.011598828,4.15e-40,0.004314784,0.000345609,0.000335787,0.0,0.00165873,0.009380787,0.007230587,0.051923077,0.009380787,0.0
19,19,9506091,0.014250421,0.037414091,0.029825841,9.4e-27,0.01089454,0.014250421,0.01448062,0.000988253,0.008291872,0.013061817,0.029357271,0.107692308,0.013061817,0.044031882
20,20,9506110,0.010741704,0.034652984,0.055509365,9.11e-27,0.008523234,0.010741704,0.011085617,0.000329418,0.040630182,0.075447357,0.005001609,0.080769231,0.075447357,0.0
21,21,9509009,0.000374848,0.047720463,0.023197842,2.66e-25,0.007714766,0.000374848,0.000380318,0.000658836,0.014925366,0.021452068,0.001359133,0.046153846,0.021452068,0.025160516
22,22,9412236,0.00013684,0.002073718,0.023197842,5.78e-43,0.001030061,0.00013684,0.000134195,0.0,0.02072968,0.012453272,0.000489288,0.011538462,0.012453272,0.125808067
23,23,9512017,0.000266078,0.046836139,0.013255833,2.2e-25,0.005924105,0.000266078,0.000291256,0.0,0.005804315,0.011897052,0.003153188,0.028846154,0.011897052,0.119517506
24,24,9601014,0.01060656,0.060801717,0.038939357,1.88e-23,0.016804475,0.01060656,0.010451954,0.109345111,0.02072968,0.039347525,0.009350835,0.098076923,0.039347525,0.012579552
25,25,9602102,0.003643218,0.079306287,0.038110845,3.3e-22,0.022543148,0.003643218,0.003664776,0.327416925,0.015754565,0.016957944,0.006795665,0.1,0.016957944,0.195003129
27,27,9605154,0.001742663,0.082815133,0.037282352,2.6200000000000003e-21,0.023842928,0.001742663,0.001678937,0.0,0.017412944,0.026114412,0.007176222,0.105769231,0.026114412,0.069193809
28,28,9603108,0.002204644,0.074441789,0.029825841,5.17e-22,0.018132962,0.002204644,0.002064069,0.0,0.015754565,0.018642603,0.003968668,0.063461538,0.018642603,0.012579552
