Id,degree_centrality
9510148,0.03156708
9602031,0.03156708
9603034,0.021420519
9607210,0.038331454
9611197,0.032694476
9602035,0.014656144
9612207,0.060879369
9701191,0.033821871
9605108,0.020293123
9605113,0.036076663
9607021,0.019165727
9609183,0.009019166
9610139,0.038331454
9702179,0.022547914
9705003,0.049605411
9703159,0.021420519
9904210,0.02367531
9712167,0.018038331
9710213,0.029312289
9608147,0.016910936
9705164,0.016910936
9707076,0.040586246
9709186,0.011273957
9611088,0.02367531
9711157,0.037204059
9701155,0.027057497
9712116,0.018038331
9510228,0.034949267
9701020,0.014656144
9606184,0.02367531
9704067,0.03156708
9702059,0.019165727
9709081,0.01578354
9811119,0.012401353
9705076,0.01578354
9808073,0.009019166
9603158,0.028184893
9710105,0.030439684
9712010,0.013528749
9707212,0.03945885
9707047,0.030439684
9608077,0.006764374
9611020,0.012401353
9704043,0.054114994
9707027,0.057497182
9705004,0.036076663
9705106,0.045095829
9411149,0.210822999
9503086,0.054114994
9505004,0.049605411
9505051,0.033821871
9505067,0.022547914
9505088,0.038331454
9506148,0.050732807
9507018,0.049605411
9605232,0.028184893
9609230,0.012401353
9607200,0.016910936
9512140,0.011273957
9607151,0.027057497
9611049,0.018038331
9611152,0.01578354
9701009,0.025930101
9608046,0.01578354
9504113,0.029312289
9701012,0.014656144
9702014,0.084554679
9704104,0.08680947
9506196,0.022547914
9507169,0.029312289
9707071,0.02367531
9506084,0.021420519
9803087,0.014656144
9710024,0.009019166
9804061,0.025930101
9803139,0.010146561
9808125,0.003382187
9812155,0.014656144
9710149,0.037204059
9803086,0.029312289
9502013,0.01578354
9502057,0.029312289
108101,0.051860203
9612131,0.058624577
9705069,0.016910936
9708015,0.045095829
9703210,0.065388952
9701015,0.045095829
9607058,0.01578354
9505073,0.069898534
109053,0.029312289
109063,0.038331454
9703110,0.052987599
9702173,0.029312289
9503106,0.021420519
9512173,0.02367531
110028,0.080045096
9702180,0.048478016
9607125,0.024802706
110055,0.161217587
9506077,0.034949267
9704198,0.045095829
9812072,0.040586246
9503186,0.018038331
110115,0.041713641
110184,0.032694476
9511065,0.016910936
9507170,0.016910936
9711069,0.058624577
111013,0.036076663
9804053,0.003382187
9704061,0.03156708
112082,0.009019166
9508046,0.011273957
9508021,0.028184893
9810223,0.00789177
9602021,0.010146561
9511213,0.037204059
9810192,0.005636979
9703197,0.018038331
9708127,0.057497182
9706121,0.010146561
9708082,0.04735062
9709096,0.062006764
9601011,0.018038331
9506137,0.016910936
205100,0.052987599
205155,0.033821871
206054,0.002254791
207027,0.029312289
207151,0.003382187
9709161,0.012401353
207161,0.01578354
208022,0.00789177
9812002,0.002254791
9902150,0.021420519
9909193,0.027057497
209230,0.111612176
210044,0.019165727
211170,0.073280722
210294,0.011273957
211075,0.050732807
9703172,0.020293123
211141,0.016910936
211271,0.068771139
212025,0.04735062
212095,0.05524239
303065,0.020293123
9604021,0.009019166
9511014,0.010146561
304036,0.00789177
9707062,0.014656144
304238,0.022547914
9503033,0.020293123
9503122,0.003382187
9512063,0.006764374
9606070,0.006764374
9706210,0.045095829
9807188,0.016910936
9803107,0.012401353
9512024,0.003382187
9703215,0.019165727
9804074,0.005636979
5076,0.027057497
6086,0.010146561
7191,0.158962796
9805142,0.005636979
9804097,0.009019166
9804114,0.013528749
7240,0.03945885
8112,0.059751973
8157,0.002254791
9706074,0.005636979
9707089,0.030439684
9707197,0.019165727
9707226,0.006764374
9708113,0.018038331
9803225,0.006764374
9805107,0.011273957
9806076,0.002254791
9806079,0.009019166
9806142,0.006764374
9807224,0.00789177
9807240,0.027057497
9808054,0.00789177
9809181,0.011273957
9810020,0.003382187
9806170,0.010146561
9021,0.014656144
9139,0.05524239
9149,0.005636979
9903103,0.011273957
11146,0.036076663
12122,0.016910936
12162,0.003382187
106040,0.059751973
106093,0.011273957
107072,0.009019166
107151,0.014656144
9504080,0.014656144
9810014,0.020293123
9707247,0.037204059
9503121,0.072153326
9701045,0.036076663
9811149,0.018038331
107261,0.02367531
205090,0.011273957
206033,0.029312289
9811183,0.019165727
208048,0.11048478
209089,0.045095829
209100,0.001127396
209116,0.042841037
209225,0.036076663
9902118,0.033821871
210007,0.018038331
210238,0.068771139
210239,0.041713641
210281,0.043968433
9804007,0.006764374
212065,0.019165727
212111,0.02367531
303033,0.042841037
303191,0.105975197
5087,0.04735062
9704004,0.003382187
9705143,0.02367531
9808178,0.002254791
9159,0.01578354
11166,0.041713641
9503179,0.072153326
9603051,0.024802706
9506139,0.021420519
9706076,0.034949267
9505098,0.013528749
9706075,0.00789177
212231,0.060879369
9807222,0.014656144
9708044,0.066516347
205301,0.050732807
104037,0.059751973
304271,0.032694476
9510135,0.29199549
11088,0.052987599
9708078,0.027057497
9608005,0.020293123
9604041,0.045095829
9602051,0.104847802
9707079,0.057497182
9612120,0.022547914
9906214,0.036076663
9511157,0.036076663
9607090,0.00789177
9709107,0.060879369
107215,0.021420519
9705029,0.014656144
9812094,0.011273957
9612143,0.043968433
9604091,0.064261556
9812121,0.019165727
9912244,0.028184893
9905056,0.016910936
9806240,0.029312289
9612102,0.048478016
9612164,0.040586246
9512219,0.076662909
9612162,0.058624577
9702006,0.037204059
9704041,0.056369786
9807040,0.022547914
9803192,0.006764374
9804065,0.009019166
9711012,0.029312289
9712057,0.013528749
9611222,0.045095829
108174,0.016910936
9605146,0.014656144
9707261,0.033821871
108198,0.02367531
9804121,0.024802706
9910217,0.034949267
108233,0.016910936
9611215,0.04735062
9512181,0.060879369
9606136,0.046223224
9907142,0.030439684
9608039,0.029312289
9701154,0.030439684
9610082,0.083427283
9611029,0.018038331
9701088,0.065388952
9601152,0.05524239
9706151,0.036076663
109162,0.201803833
9612027,0.012401353
9707202,0.033821871
9712206,0.024802706
9904064,0.02367531
9912272,0.04735062
9712048,0.014656144
9603126,0.087936866
9703163,0.034949267
9704110,0.057497182
9808120,0.021420519
9803061,0.034949267
9711202,0.014656144
9806133,0.024802706
9702108,0.038331454
9808100,0.045095829
9711112,0.025930101
9512203,0.027057497
9701169,0.027057497
112073,0.012401353
111055,0.009019166
9904181,0.021420519
9806115,0.010146561
9701186,0.041713641
9712082,0.033821871
111165,0.07102593
9607020,0.03156708
9707002,0.021420519
111222,0.037204059
9611040,0.030439684
9905068,0.021420519
9710064,0.022547914
9606009,0.036076663
9804084,0.01578354
