Id,Degree-Centrality,,,,,,,,,,,
9611088,0.00080272,,,,,,,,,,,
9702179,0.000519407,,,,,,,,,,,
9711157,0.001227689,,,,,,,,,,,
9701155,0.000566626,,,,,,,,,,,
9705003,0.001747096,,,,,,,,,,,
9712116,0.000424969,,,,,,,,,,,
9702059,0.000613845,,,,,,,,,,,
9709081,0.000708282,,,,,,,,,,,
9707076,0.000897157,,,,,,,,,,,
9602031,0.001227689,,,,,,,,,,,
9611197,0.000661063,,,,,,,,,,,
9701020,0.000566626,,,,,,,,,,,
9603158,0.001416564,,,,,,,,,,,
9612207,0.002030409,,,,,,,,,,,
9701191,0.000897157,,,,,,,,,,,
9606184,0.000849939,,,,,,,,,,,
9610139,0.001416564,,,,,,,,,,,
9710105,0.001227689,,,,,,,,,,,
9703159,0.000849939,,,,,,,,,,,
9811119,0.000849939,,,,,,,,,,,
9705076,0.000613845,,,,,,,,,,,
9710213,0.000519407,,,,,,,,,,,
9907225,0.001274908,,,,,,,,,,,
9608147,0.000708282,,,,,,,,,,,
9904172,0.000236094,,,,,,,,,,,
7240,0.001935971,,,,,,,,,,,
107151,0.000897157,,,,,,,,,,,
9603034,0.000566626,,,,,,,,,,,
9607210,0.001511002,,,,,,,,,,,
9609183,0.000472188,,,,,,,,,,,
9712167,0.000566626,,,,,,,,,,,
9712010,0.000566626,,,,,,,,,,,
9704067,0.001227689,,,,,,,,,,,
9812155,0.000708282,,,,,,,,,,,
9902018,0.001888752,,,,,,,,,,,
303104,0.000897157,,,,,,,,,,,
304138,0.000849939,,,,,,,,,,,
304271,0.001794315,,,,,,,,,,,
9707212,0.001463783,,,,,,,,,,,
9707047,0.000944376,,,,,,,,,,,
9608077,0.000236094,,,,,,,,,,,
9611020,0.000613845,,,,,,,,,,,
110146,0.00160544,,,,,,,,,,,
9904210,0.000519407,,,,,,,,,,,
9705004,0.001274908,,,,,,,,,,,
9705106,0.001652658,,,,,,,,,,,
207027,0.001935971,,,,,,,,,,,
9705164,0.000519407,,,,,,,,,,,
9411149,0.009585419,,,,,,,,,,,
9605232,0.000661063,,,,,,,,,,,
9607200,0.000708282,,,,,,,,,,,
9607151,0.000944376,,,,,,,,,,,
9611049,0.000519407,,,,,,,,,,,
9611152,0.000472188,,,,,,,,,,,
9701009,0.001133251,,,,,,,,,,,
9605108,0.000991595,,,,,,,,,,,
9605113,0.001133251,,,,,,,,,,,
9607021,0.00080272,,,,,,,,,,,
9608046,0.000613845,,,,,,,,,,,
9701012,0.000613845,,,,,,,,,,,
9702014,0.003919161,,,,,,,,,,,
9704104,0.004060818,,,,,,,,,,,
9707071,0.00080272,,,,,,,,,,,
9710001,0.000661063,,,,,,,,,,,
9710024,0.000566626,,,,,,,,,,,
9703051,0.002219284,,,,,,,,,,,
9704043,0.002597035,,,,,,,,,,,
9707027,0.001841534,,,,,,,,,,,
9710149,0.001558221,,,,,,,,,,,
9705199,0.003683067,,,,,,,,,,,
108101,0.001699877,,,,,,,,,,,
9812166,0.000849939,,,,,,,,,,,
9612131,0.002644253,,,,,,,,,,,
9712029,0.000991595,,,,,,,,,,,
9705069,0.000708282,,,,,,,,,,,
9707258,0.001274908,,,,,,,,,,,
9708015,0.002077628,,,,,,,,,,,
9703210,0.00358863,,,,,,,,,,,
9701015,0.001699877,,,,,,,,,,,
9607058,0.00080272,,,,,,,,,,,
109053,0.001463783,,,,,,,,,,,
109063,0.000944376,,,,,,,,,,,
9903061,0.000330532,,,,,,,,,,,
9703110,0.00316366,,,,,,,,,,,
9702173,0.000849939,,,,,,,,,,,
9705152,0.000330532,,,,,,,,,,,
9702174,0.001935971,,,,,,,,,,,
9603129,0.000188875,,,,,,,,,,,
110028,0.004438568,,,,,,,,,,,
9702180,0.002549816,,,,,,,,,,,
9607125,0.000708282,,,,,,,,,,,
9704198,0.001794315,,,,,,,,,,,
9812072,0.002833129,,,,,,,,,,,
9904033,0.001369346,,,,,,,,,,,
9910222,0.001794315,,,,,,,,,,,
9607239,0.001369346,,,,,,,,,,,
