Id,EigenVector-centrality,,,,,,,,,,,
9611088,0.004659527,,,,,,,,,,,
9702179,0.001112842,,,,,,,,,,,
9711157,0.009183764,,,,,,,,,,,
9701155,0.001229985,,,,,,,,,,,
9705003,0.004441358,,,,,,,,,,,
9712116,0.000997875,,,,,,,,,,,
9702059,0.001165099,,,,,,,,,,,
9709081,0.004888366,,,,,,,,,,,
9707076,0.001627894,,,,,,,,,,,
9602031,0.004209985,,,,,,,,,,,
9611197,0.001457392,,,,,,,,,,,
9701020,0.001357981,,,,,,,,,,,
9603158,0.003691639,,,,,,,,,,,
9612207,0.002763507,,,,,,,,,,,
9701191,0.001302957,,,,,,,,,,,
9606184,0.001492752,,,,,,,,,,,
9610139,0.002558313,,,,,,,,,,,
9710105,0.002004087,,,,,,,,,,,
9703159,0.00145015,,,,,,,,,,,
9811119,0.001434696,,,,,,,,,,,
9705076,0.004830179,,,,,,,,,,,
9710213,0.001160375,,,,,,,,,,,
9907225,0.005107083,,,,,,,,,,,
9608147,0.000775556,,,,,,,,,,,
9904172,0.000305746,,,,,,,,,,,
7240,0.006783223,,,,,,,,,,,
107151,0.001572955,,,,,,,,,,,
9603034,0.002385725,,,,,,,,,,,
9607210,0.002425829,,,,,,,,,,,
9609183,0.001021968,,,,,,,,,,,
9712167,0.002672997,,,,,,,,,,,
9712010,0.001369427,,,,,,,,,,,
9704067,0.004514942,,,,,,,,,,,
9812155,0.001331729,,,,,,,,,,,
9902018,0.007985883,,,,,,,,,,,
303104,0.005181816,,,,,,,,,,,
304138,0.005362037,,,,,,,,,,,
304271,0.01161211,,,,,,,,,,,
9707212,0.003555473,,,,,,,,,,,
9707047,0.002461095,,,,,,,,,,,
9608077,0.000114592,,,,,,,,,,,
9611020,0.001729078,,,,,,,,,,,
110146,0.016745781,,,,,,,,,,,
9904210,0.001156614,,,,,,,,,,,
9705004,0.006459429,,,,,,,,,,,
9705106,0.007922151,,,,,,,,,,,
207027,0.009135866,,,,,,,,,,,
9705164,0.000804666,,,,,,,,,,,
9411149,0.025679247,,,,,,,,,,,
9605232,0.004566354,,,,,,,,,,,
9607200,0.00176118,,,,,,,,,,,
9607151,0.007065085,,,,,,,,,,,
9611049,0.00239778,,,,,,,,,,,
9611152,0.004420041,,,,,,,,,,,
9701009,0.006824776,,,,,,,,,,,
9605108,0.001554565,,,,,,,,,,,
9605113,0.003376446,,,,,,,,,,,
9607021,0.001738285,,,,,,,,,,,
9608046,0.001179862,,,,,,,,,,,
9701012,0.004036651,,,,,,,,,,,
9702014,0.017966819,,,,,,,,,,,
9704104,0.024116561,,,,,,,,,,,
9707071,0.006848631,,,,,,,,,,,
9710001,0.004179904,,,,,,,,,,,
9710024,0.001570958,,,,,,,,,,,
9703051,0.010942304,,,,,,,,,,,
9704043,0.014438546,,,,,,,,,,,
9707027,0.009383613,,,,,,,,,,,
9710149,0.003849201,,,,,,,,,,,
9705199,0.022100297,,,,,,,,,,,
108101,0.015596843,,,,,,,,,,,
9812166,0.005600655,,,,,,,,,,,
9612131,0.010296775,,,,,,,,,,,
9712029,0.008139519,,,,,,,,,,,
9705069,0.00500955,,,,,,,,,,,
9707258,0.010137732,,,,,,,,,,,
9708015,0.01231504,,,,,,,,,,,
9703210,0.020468683,,,,,,,,,,,
9701015,0.00788973,,,,,,,,,,,
9607058,0.006924172,,,,,,,,,,,
109053,0.0090416,,,,,,,,,,,
109063,0.004239339,,,,,,,,,,,
9903061,0.006211592,,,,,,,,,,,
9703110,0.011925966,,,,,,,,,,,
9702173,0.003470248,,,,,,,,,,,
9705152,0.003390433,,,,,,,,,,,
9702174,0.003620521,,,,,,,,,,,
9603129,0.002592156,,,,,,,,,,,
110028,0.026891691,,,,,,,,,,,
9702180,0.014008869,,,,,,,,,,,
9607125,0.006170644,,,,,,,,,,,
9704198,0.013285778,,,,,,,,,,,
9812072,0.024499727,,,,,,,,,,,
9904033,0.016690559,,,,,,,,,,,
9910222,0.014059931,,,,,,,,,,,
9607239,0.004874906,,,,,,,,,,,
9708168,0.017345348,,,,,,,,,,,
9703191,0.001368626,,,,,,,,,,,
110184,0.011782625,,,,,,,,,,,
9705148,0.005351157,,,,,,,,,,,
9811121,0.001034624,,,,,,,,,,,
9706127,0.013678294,,,,,,,,,,,
9711069,0.009584194,,,,,,,,,,,
111013,0.012442008,,,,,,,,,,,
9811231,0.002166542,,,,,,,,,,,
9707192,0.014286654,,,,,,,,,,,
9712046,0.006160171,,,,,,,,,,,
111231,0.008854264,,,,,,,,,,,
9811083,0.007333748,,,,,,,,,,,
