,Rank,Id,Degree-Centrality,Betweenness-Centrality,EigenVector-centrality,Closeness-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Page-Rank,Katz-Centrality,Harmonic-Centrality,Percolation-Centrality
0,1,1.0,0.9490178586295686,0.9490178586295686,0.969499400305675,0.9490178586295686,0.969499400305675,0.969499400305675,0.9490178586295686,0.9490178586295686,0.0105003272206728,0.9490178586295686,0.9490178586295686
1,2,0.9999991926706606,0.969499400305675,0.969499400305675,0.0103926496700293,0.0004142608672836,0.0103926496700293,0.0103926496700293,0.969499400305675,0.969499400305675,0.9798088950537456,0.969499400305675,0.969499400305675
2,3,0.9999990917544932,0.0103926496700293,0.0103926496700293,0.0200778770064026,0.969499400305675,0.0200778770064026,0.0200778770064026,0.0103926496700293,0.0103926496700293,0.0001984011851594,0.0004142608672836,0.0103926496700293
3,4,0.9999979816766514,0.0107069026153938,0.0004142608672836,0.9490178586295686,0.0103926496700293,0.9490178586295686,0.9490178586295686,0.0107069026153938,0.0107069026153938,0.0006019649386959,0.0103926496700293,0.0004142608672836
4,5,0.9999977798443166,0.0200778770064026,0.0098959402939587,0.0001984011851594,7.165047887244348e-06,0.0001984011851594,0.0001984011851594,0.0200778770064026,0.0098959402939587,0.9796094847069116,7.165047887244348e-06,0.0098959402939587
5,6,0.9999973761796468,0.0004142608672836,0.0107069026153938,0.0107069026153938,0.021096423884233,0.0107069026153938,0.0107069026153938,0.0004142608672836,0.9494277801016529,0.0098959402939587,0.0098959402939587,0.0107069026153938
6,7,0.9999963670179728,0.0098959402939587,0.9494277801016529,0.0004142608672836,0.0098959402939587,0.0004142608672836,0.0004142608672836,0.0098959402939587,0.0004142608672836,0.0208048770765393,0.021096423884233,0.9494277801016529
7,8,0.9999960642694704,0.9494277801016529,7.165047887244348e-06,0.0109133770939474,0.0109210467226717,0.0109133770939474,0.0109133770939474,0.9494277801016529,0.0200778770064026,0.0002986109394134,0.0109210467226717,7.165047887244348e-06
8,9,0.9999948532754612,0.0200003733898194,0.999090543499157,0.0098959402939587,0.9898999062993386,0.0098959402939587,0.0098959402939587,0.0200003733898194,0.0200003733898194,0.9796957680300608,0.999090543499157,0.999090543499157
9,10,0.9999944496107916,7.165047887244348e-06,0.0208053816573764,7.165047887244348e-06,0.999090543499157,7.165047887244348e-06,7.165047887244348e-06,7.165047887244348e-06,0.9485089383972394,0.0107970207529052,0.9898999062993386,0.0208053816573764
10,11,0.9999904129640944,0.0004163801067995,0.0200003733898194,0.0004993331964237,0.0004167837714692,0.0004993331964237,0.0004993331964237,0.0004163801067995,7.165047887244348e-06,0.9793004794022534,0.0004167837714692,0.0200003733898194
