Id,eigenvector centrality
9307025,6.860538441706093e-35
1001,8.143430058336916e-05
1002,0.003113014661649009
1003,3.47606975211047e-05
1004,6.860538441706093e-35
1005,1.4614141580104282e-05
1006,2.2159731305060623e-14
1007,2.773643288485947e-05
1008,2.2868461472353643e-36
1009,6.860538441706093e-35
1010,0.00012937906669681606
1011,2.7905278763263678e-05
1012,1.1787460000407298e-06
1013,0.000948896172816077
1014,3.233856050143049e-19
1015,5.06667229212255e-30
1016,0.0006238615459581467
1017,2.5493175413584726e-08
1018,0.0008926314346984708
1019,1.4772181124306557e-17
1020,6.860538441706093e-35
1021,1.7350207908157895e-18
1022,3.193886856897901e-17
1023,4.716595437394064e-06
1024,4.161977862739617e-05
1025,1.8691191139117647e-05
1026,1.9829471627292554e-31
1027,0.00010808785529903064
1028,3.182136908923678e-08
1029,2.450238103342089e-05
1030,2.012424609567121e-34
1031,2.395992495622578e-05
1032,4.913421830409231e-05
1033,0.007154577095070837
1034,9.35777443448711e-32
1035,4.2956555956110955e-05
1036,6.232895169203248e-20
1037,1.1560491524224741e-05
1038,6.860538441706093e-35
1039,3.0466096530132014e-27
1040,6.860538441706093e-35
1041,0.002003908415953313
1042,3.100764709369243e-05
1044,8.428618054295981e-05
1045,4.3283452193038835e-20
1046,2.280755509212743e-13
1047,8.109054527104449e-05
1048,4.71925005174226e-31
1049,9.105171890582321e-05
1050,7.149824479331366e-31
1051,1.6117290244692472e-05
1052,9.419519280462459e-33
1053,0.000511383034070127
1054,0.0022494414505605425
1055,0.0004959425084412963
1056,0.0008745694094332836
1057,0.0009186640071103954
1060,1.2279897385513714e-27
1061,1.0633834584644448e-33
1062,6.615035421357255e-11
1063,0.00015641971107440913
1064,1.4756560818880364e-30
1065,0.0018730617939108746
1066,0.0002802647078438248
1067,4.3319955251694216e-30
1068,0.00022315895918991531
1069,9.970649201946189e-34
1070,2.5320762996503034e-28
1071,0.002993302360606023
1072,0.000301880838438159
1073,5.610926272694598e-05
1074,6.689055678681873e-12
1075,1.5531324398002223e-28
1076,1.123921989809619e-05
