Id,Percolation-Centrality
9307025,0.0
1001,9.558100471506103e-05
1002,0.00013508841217684607
1003,1.3487735919754608e-08
1004,0.0
1005,1.45458901162607e-05
1006,9.978355164299743e-05
1007,0.0
1008,0.0
1009,0.0
1010,5.309232784126959e-06
1011,1.9472191954792365e-06
1012,4.019638939728614e-05
1013,2.3524581197684222e-05
1014,2.6040442984817274e-07
1015,0.0
1016,9.165262051674531e-05
1017,0.0008061754845912327
1018,2.1087790142427246e-05
1019,3.730272359612678e-05
1020,0.0
1021,5.088595483383613e-06
1022,4.141413585290018e-08
1023,0.00028188914631879823
1024,0.00020264081937674988
1025,2.3171484231314926e-05
1026,0.0
1027,0.00016029633900922988
1028,2.3509361064458388e-07
1029,4.977274430242105e-05
1030,0.0
1031,1.4421655237866839e-06
1032,4.340040673312732e-06
1033,0.002198942293882143
1034,0.0
1035,0.00026710058029542905
1036,3.359426111296309e-08
1037,1.5242474032726303e-05
1038,0.0
1039,2.340710717568327e-07
1040,2.436125638405893e-09
1041,0.000545198670366345
1042,0.00010274197527606773
1044,9.372902248356853e-06
1045,0.0
1046,0.00014826026514635395
1047,4.750869411828856e-06
1048,4.466230337077471e-09
1049,6.734096485109296e-05
1050,1.0545503910837008e-06
1051,7.592437990304333e-08
1052,0.0
1053,0.0006020811183318505
1054,3.365354500591796e-05
1055,8.812708737841184e-05
1056,0.00022141381614933095
1057,1.337302884115525e-07
1060,1.8700164424334762e-08
1061,0.0
1062,0.00010765485061273519
1063,2.984408668704896e-06
1064,4.547434525024333e-08
1065,1.3313839470556209e-05
1066,0.00018587961276999375
1067,4.019607303369723e-08
1068,6.137355110580815e-05
1069,0.0
1070,9.460287895809553e-08
1071,0.00015437771778734427
1072,4.020688944234817e-09
1073,3.650754137552402e-06
1074,5.828849650384575e-07
1075,0.0
1076,1.7553756117589802e-09
1077,0.00017335031847369323
1080,0.0
1081,0.00014592518630852287
1082,0.0008929012399207998
1083,0.0004346664353770508
1084,2.7937515246884523e-05
1085,0.0004117775114545665
1086,2.436125638405893e-09
1087,0.0
1088,7.757011845246444e-07
1089,0.00013283581540594818
1090,4.171174920172542e-05
1091,2.436125638405893e-09
1092,5.070054411929596e-06
1093,2.0142739374533893e-05
