Id,Page-Rank
9307025,2.0434693972448583e-05
1001,8.884425963699977e-05
1002,3.662435814452842e-05
1003,2.1110135397909552e-05
1004,2.5591214953666106e-05
1005,4.4262557102198775e-05
1006,2.2200802691292602e-05
1007,3.35199055615371e-05
1008,1.995127013045944e-05
1009,2.4181228747864442e-05
1010,2.285581816970968e-05
1011,3.947013476557739e-05
1012,2.185943028423779e-05
1013,3.243253450458251e-05
1014,3.840905845029139e-05
1015,2.3369072074220452e-05
1016,4.0252781034581614e-05
1017,3.7545064241718946e-05
1018,3.902618313172116e-05
1019,7.367034942662489e-05
1020,2.1361256336261107e-05
1021,8.146775160164591e-05
1022,2.3471515941371785e-05
1023,4.8632428365759454e-05
1024,4.964709910732545e-05
1025,3.093631463073338e-05
1026,2.5336301097121376e-05
1027,2.7311697797411636e-05
1028,2.8224991600928463e-05
1029,4.5771786420167755e-05
1030,3.094916253571244e-05
1031,2.2237551329637225e-05
1032,2.270981993910679e-05
1033,0.00010072409310845226
1034,4.9862858724027106e-05
1035,2.6341253587201985e-05
1036,2.2250134450834447e-05
1037,2.8560157006971187e-05
1038,2.841118736526944e-05
1039,2.5645123897741e-05
1040,2.5591214953666106e-05
1041,7.982418845280981e-05
1042,0.00010568356872733496
1044,2.752000704786e-05
1045,6.523800982868022e-05
1046,6.125302928658781e-05
1047,3.336884130725174e-05
1048,4.871235563268001e-05
1049,4.501533937228156e-05
1050,2.0922613355786656e-05
1051,3.702199149693093e-05
1052,2.600646888708969e-05
1053,2.6169569835707527e-05
1054,3.1811386061956584e-05
1055,4.0618907199067356e-05
1056,2.6145487576026592e-05
1057,2.8880483963190715e-05
1060,3.0155080878979602e-05
1061,2.7594957774736786e-05
1062,5.226057279511114e-05
1063,2.7433568826788294e-05
1064,3.3736530267105674e-05
1065,2.840218933753501e-05
1066,5.6257085110936785e-05
1067,2.9222268255712158e-05
1068,4.6756449371008745e-05
1069,4.162115752223155e-05
1070,9.671227309799328e-05
1071,3.189648265402834e-05
1072,2.4844456519414344e-05
1073,2.221761508194041e-05
1074,2.61045060448648e-05
1075,2.0690857554698646e-05
1076,3.8754774934209306e-05
1077,5.3438228082805286e-05
1080,8.66790468947848e-05
1081,4.8924228800832624e-05
1082,4.763709458404858e-05
1083,0.00011328802162306086
1084,2.346169048504338e-05
1085,6.105417748179607e-05
1086,2.7527939137680697e-05
1087,2.4181228747864442e-05
1088,2.0390281007617782e-05
1089,3.315843380686431e-05
1090,4.740713814662587e-05
1091,2.841118736526944e-05
1092,2.1628909866763577e-05
1093,4.3954317226115696e-05
1094,4.929689301942329e-05
1095,1.995127013045944e-05
1096,5.379093906969944e-05
1097,5.336330885999411e-05
1098,6.722885107708422e-05
1100,2.4958903008476497e-05
1101,3.205821885922728e-05
1102,3.687110460007944e-05
1103,4.44676007301857e-05
1105,2.62713163051514e-05
1106,4.253426258590345e-05
1107,2.546476019651796e-05
1108,8.735585822052203e-05
1109,0.00011411159176704534
1110,7.135179387503159e-05
1111,2.8291028090701125e-05
1112,2.2229109327425595e-05
1113,1.995127013045944e-05
1114,5.1769917680571275e-05
1115,1.995127013045944e-05
1116,3.687110460007944e-05
1117,3.075099485596767e-05
1118,2.126186078445396e-05
1119,1.995127013045944e-05
1121,5.5640682809344895e-05
1122,7.255133459386259e-05
1123,7.401831229957948e-05
1124,9.112540523519218e-05
1125,9.098310093460424e-05
1126,2.9355404216288163e-05
1127,3.792709233106728e-05
1128,4.9690094115597647e-05
1129,3.25733109531895e-05
1130,2.618235986361251e-05
1131,7.960211637143087e-05
1132,4.254969644334764e-05
1133,5.094220515592105e-05
1134,6.138596548280594e-05
1135,3.5411598854747004e-05
1136,8.807523555494411e-05
1137,3.877945192905947e-05
1138,4.2569722700043004e-05
1140,4.971171778737577e-05
1141,2.0596669429898156e-05
1142,0.00010088049903742569
1143,3.3156038683706844e-05
1144,3.104353130694523e-05
1145,2.707113719817398e-05
1146,4.043364429169353e-05
1148,2.0784413079150027e-05
1149,5.033339347203899e-05
1150,5.532778474185146e-05
1151,3.352062331470298e-05
1152,2.6163244041961505e-05
1154,2.1252795858891748e-05
1155,2.4181228747864442e-05
1156,7.046302467034425e-05
1157,4.053731842774848e-05
1158,2.3476437266884973e-05
1159,3.1300152403104393e-05
1160,1.995127013045944e-05
1161,2.9536161297868738e-05
1162,1.995127013045944e-05
1163,5.5802115591371475e-05
1164,7.592501652322039e-05
1165,5.217758266512668e-05
1166,3.368263583760281e-05
1167,2.7606255357116816e-05
1168,5.849986488395116e-05
1169,4.451044489197438e-05
1170,6.236142873711132e-05
1171,2.1472447907353396e-05
1172,4.8559702072568566e-05
1173,4.1017378331487446e-05
1174,2.7216456508049016e-05
1175,4.1853231070394624e-05
1176,3.148631578746695e-05
1177,3.7207384671455094e-05
1178,3.7205994083473755e-05
1179,6.0123314032984004e-05
1180,3.363603890558084e-05
1181,1.995127013045944e-05
1182,2.1140276416591897e-05
1183,3.261479910554877e-05
1184,3.9966352004659684e-05
1185,3.5482150084686646e-05
1186,7.386638742501023e-05
1187,4.313857004801422e-05
1188,3.90133446896975e-05
1189,3.9059037614094585e-05
1190,6.634223740856874e-05
1191,2.7594957774736786e-05
1192,6.425879129002318e-05
1193,4.7713449605438466e-05
1194,3.693385739307835e-05
1195,2.4263795088767528e-05
1196,7.306988731414236e-05
1197,2.617051697020731e-05
1198,4.73289786428468e-05
1199,2.8381175119708063e-05
1200,5.791627232925983e-05
1201,3.042246713208307e-05
1202,4.3562252327112594e-05
1203,2.5576654468337147e-05
1204,3.760169925103207e-05
1205,0.00010274064168009596
1206,3.0278667164685606e-05
1207,2.1676392276685765e-05
1208,4.3469567558570955e-05
1209,4.5233863652294346e-05
1210,2.7904113134124945e-05
1211,7.704417170521022e-05
1212,0.0001698303263023303
1213,0.00016198708096192647
1214,4.9931761361930275e-05
1215,3.282704631488293e-05
1216,0.00011112388253422871
1217,4.708384636543388e-05
1218,2.611046519908155e-05
1219,5.251845284530616e-05
1221,4.575147388885393e-05
1222,3.4203497138354054e-05
9701002,4.7261102345438216e-05
9701003,3.687110460007944e-05
9701004,2.1831251738194995e-05
9701005,2.1252795858891748e-05
9701007,2.5591214953666106e-05
9701008,2.0227373593195897e-05
9701009,2.5190490701144266e-05
9701010,2.521558271222543e-05
9701011,3.7756243527274303e-05
9701012,2.206624943916194e-05
9701013,4.635396250369738e-05
9701014,2.4354320552059662e-05
9701015,2.5390555244833258e-05
9701016,2.5591214953666106e-05
9701017,2.333523702438344e-05
9701018,2.7827414470163617e-05
9701019,2.7482136476765577e-05
9701020,2.4596669338934667e-05
9701021,1.995127013045944e-05
9701022,2.5591214953666106e-05
9701023,5.8489450270735934e-05
9701024,2.198298444053724e-05
9701025,2.2422232300195694e-05
9701026,2.2368389340405154e-05
9701027,1.995127013045944e-05
9701028,1.995127013045944e-05
9701029,2.5591214953666106e-05
9701032,1.995127013045944e-05
9701033,1.995127013045944e-05
9701034,2.079726185394044e-05
9701035,2.2545877149555648e-05
9701037,2.7449156634246935e-05
9701039,1.995127013045944e-05
9701040,1.995127013045944e-05
9701041,2.648173255733032e-05
9701042,2.517145822845536e-05
9701043,2.727007111115056e-05
9701044,1.995127013045944e-05
9701045,3.343089079081354e-05
9701047,2.0042575217767487e-05
9701048,2.4891975545838063e-05
9701049,1.995127013045944e-05
9701050,1.995127013045944e-05
9701051,1.995127013045944e-05
9701052,2.2571963037068817e-05
9701053,3.337955363686916e-05
9701054,3.127400159949706e-05
9701055,3.2298938012837395e-05
9701057,3.672767334210915e-05
9701058,1.995127013045944e-05
9701059,3.5179672596969016e-05
9701060,2.6142941223665825e-05
9701061,2.034475465300874e-05
9701062,2.973921093634668e-05
9701063,1.995127013045944e-05
9701064,2.348793394354254e-05
9701065,2.3693280885963633e-05
9701066,3.3220170135839076e-05
9701067,2.242849385134055e-05
9701069,2.117399192095777e-05
9701071,4.4814594322165105e-05
9701072,1.995127013045944e-05
9701073,4.622228243363435e-05
9701074,1.995127013045944e-05
9701075,2.214605896692195e-05
9701076,3.687110460007944e-05
9701077,2.7986228411676518e-05
9701078,3.388928854217584e-05
9701079,1.995127013045944e-05
9701080,2.347623564496361e-05
9701081,3.0222651272693933e-05
9701082,2.8507096024892566e-05
9701083,1.995127013045944e-05
9701084,3.24186730074108e-05
9701085,2.2156368788373316e-05
9701087,2.841118736526944e-05
9701088,2.868242742244747e-05
9701090,3.687110460007944e-05
9701091,2.3693280885963633e-05
9701092,3.426670391985381e-05
9701093,2.8173712521482723e-05
9701094,2.728079036468951e-05
9701095,2.79417278635898e-05
9701096,2.0396747981686486e-05
9701097,4.512792066701336e-05
9701099,2.7189038483742475e-05
9701100,2.8277703580111256e-05
9701101,4.428652616565987e-05
9701102,1.995127013045944e-05
9701103,2.4657563030683838e-05
9701104,2.8991834187064393e-05
9701105,2.9707908260571176e-05
9701106,2.3761984492529493e-05
9701107,2.139924155316815e-05
9701108,3.214349598036673e-05
9701109,2.0537386763411052e-05
9701111,1.995127013045944e-05
9701112,1.995127013045944e-05
9701113,2.0077537551874515e-05
9701115,3.20266751950286e-05
9701116,4.49371531116808e-05
9701117,3.860065323218544e-05
9701118,2.1361256336261107e-05
